shift count,제주,서울,부산,대구,인천,광주,대전,전북,경기,울산,강원,충북,세종,경북,경남,전남,충남
0,0.888013207,0.900301244,0.899267609,0.897161691,0.901414619,0.89477,0.899238605,0.890609699,0.89660688,0.90090029,0.886501228,0.884724776,0.889566772,0.892175198,0.882926664,0.87817277,0.884872983
1,0.899301382,0.911017824,0.910132422,0.908110364,0.91203454,0.905885492,0.910374748,0.901376551,0.907596707,0.91207023,0.897555189,0.895681122,0.90061186,0.903052139,0.894365803,0.889411353,0.896044958
2,0.909709672,0.92107117,0.920205416,0.918259747,0.921868799,0.91612031,0.920547951,0.911301256,0.917865545,0.922509498,0.908067878,0.90597057,0.91098893,0.913281433,0.905103346,0.90004001,0.906515027
3,0.917918345,0.929831489,0.929066726,0.927142297,0.93046351,0.925215141,0.929303094,0.92022786,0.926975725,0.93188747,0.917772561,0.91534087,0.920423107,0.922593402,0.914870839,0.909856348,0.916036702
4,0.924184206,0.936839828,0.936344046,0.934378191,0.937462773,0.932831524,0.936402146,0.927909214,0.934520572,0.939801881,0.926243486,0.923395236,0.928638095,0.930601062,0.923320981,0.91853017,0.924273475
5,0.928508501,0.942344297,0.94221139,0.940197496,0.943059239,0.939159831,0.942163111,0.934526479,0.940734746,0.946477056,0.933771598,0.930450788,0.935893672,0.937641057,0.930704348,0.926362029,0.931526168
6,0.930390201,0.946170154,0.946353234,0.94437422,0.947099375,0.943931426,0.946323619,0.939743729,0.945384622,0.951514866,0.940000817,0.936173576,0.941758283,0.943298399,0.936639614,0.932968039,0.93745058
7,0.931088923,0.949166582,0.949339923,0.947594687,0.950110604,0.947557471,0.949510962,0.944179879,0.949039408,0.955618278,0.945462105,0.941129987,0.946785088,0.948177482,0.941704256,0.93878981,0.942545962
8,0.930436107,0.951075826,0.950824418,0.949563288,0.951783536,0.949699948,0.951572489,0.947489871,0.951417701,0.95832622,0.949833459,0.944993214,0.950693585,0.951896426,0.945505577,0.943458632,0.946448401
9,0.928557931,0.951826233,0.951050924,0.950306828,0.952375425,0.950573424,0.952377638,0.94955335,0.952576405,0.95973505,0.952940452,0.947667993,0.953346523,0.954328483,0.947975817,0.946892938,0.949106996
10,0.925713876,0.951564358,0.950157572,0.9498801,0.951935087,0.950254066,0.95205793,0.950405483,0.952603219,0.960095789,0.954892636,0.949219358,0.954799153,0.955541245,0.94924954,0.949125998,0.950611925
11,0.921888873,0.950438429,0.948219397,0.948417134,0.950542826,0.948912494,0.950772867,0.95020733,0.951670203,0.959431475,0.955809865,0.949752702,0.955142437,0.955626019,0.949407998,0.950290957,0.951059347
12,0.916645664,0.948429024,0.945421194,0.946009257,0.948401244,0.94676499,0.948757797,0.949134277,0.949921971,0.957932677,0.955776159,0.949455167,0.954629629,0.954787458,0.948564713,0.95057847,0.950642641
13,0.910424153,0.945735346,0.941783279,0.942744826,0.945497077,0.943840185,0.946143366,0.947266893,0.947411153,0.955588912,0.954982571,0.948474966,0.953535422,0.953198923,0.946926224,0.950083825,0.949489662
14,0.90401753,0.942630424,0.937507621,0.938767412,0.941995064,0.940384425,0.943064724,0.944653809,0.944346503,0.952429396,0.953524067,0.946835585,0.951966624,0.950799874,0.944541384,0.948925554,0.947666486
15,0.896748608,0.939053322,0.932636466,0.934251881,0.937949857,0.936484903,0.939523968,0.941411776,0.940769525,0.948502237,0.951399039,0.94454745,0.949864583,0.947646002,0.94148782,0.947161318,0.94521692
