days,제주,부산,서울,광주,대구,인천,대전,경기,울산,전북,경북,경남,세종,충남,강원,충북,전남
45,0.2,0.64,0.75,0.75,0.7,0.72,0.76,0.79,0.8,0.85,0.87,0.88,0.92,0.91,0.94,0.92,0.95
42,0.37,0.74,0.82,0.82,0.78,0.8,0.82,0.85,0.87,0.9,0.92,0.93,0.95,0.95,0.97,0.96,0.98
39,0.52,0.82,0.88,0.88,0.86,0.87,0.88,0.91,0.92,0.95,0.96,0.96,0.98,0.98,1,0.98,1
36,0.66,0.89,0.93,0.93,0.92,0.92,0.93,0.95,0.96,0.98,1,1,1,1,1,1,1
33,0.79,0.95,0.97,0.97,0.96,0.96,0.97,0.98,1,1,1,1,1,1,1,1,1
30,0.88,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98
27,0.94,1,1,1,1,1,1,1,1,1,0.98,0.98,0.97,0.97,0.96,0.97,0.95
24,0.98,1,1,0.98,1,1,0.98,0.98,0.97,0.95,0.94,0.94,0.93,0.93,0.91,0.93,0.9
21,1,0.97,0.95,0.95,0.95,0.96,0.95,0.94,0.92,0.9,0.88,0.88,0.87,0.87,0.85,0.87,0.84
18,0.98,0.91,0.89,0.88,0.89,0.9,0.89,0.87,0.86,0.82,0.81,0.81,0.8,0.79,0.77,0.79,0.76
15,0.94,0.83,0.82,0.8,0.81,0.82,0.81,0.79,0.77,0.73,0.72,0.72,0.71,0.7,0.68,0.7,0.67
12,0.84,0.72,0.71,0.68,0.7,0.71,0.7,0.68,0.66,0.62,0.61,0.61,0.6,0.6,0.57,0.59,0.56
9,0.69,0.58,0.57,0.55,0.56,0.57,0.57,0.54,0.52,0.5,0.48,0.48,0.47,0.47,0.45,0.47,0.44
6,0.5,0.4,0.4,0.38,0.4,0.4,0.4,0.38,0.37,0.35,0.33,0.33,0.33,0.33,0.31,0.33,0.3
3,0.26,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,30,30,30,30,30,30,33,33,36,36,36,36,39,36,39
,,24,27,27,27,27,27,27,30,30,33,33,33,33,36,33,36
,21,27,24,,24,24,,,27,27,30,30,30,30,33,30,33
,,,,,,,,,,,,,,,30,,
,21,25.5,27,28.5,27,27,28.5,28.5,30,30,33,33,33,33,34.5,33,36
